AvgSpotLen	Avg_Spot_Len	BioSample	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	cultivar	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	InsertSize	Instrument	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	geo_loc_name	tissue
50	50	SAMN07675583	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235845	SINGLE	KFRAG_00088	2017-10-02	191	68	2017-10-02	SRR6123013	SRS2559624	LOP868_293	Alca_Tarma_dihaploid_293	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675582	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235844	SINGLE	KFRAG_00087	2017-10-02	188	66	2017-10-02	SRR6123014	SRS2559623	LOP868_292	Alca_Tarma_dihaploid_292	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675581	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235843	SINGLE	KFRAG_00086	2017-10-02	4	1	2017-10-02	SRR6123015	SRS2559463	LOP868_289	Alca_Tarma_dihaploid_289	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675580	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235842	SINGLE	KFRAG_00085	2017-10-02	3	1	2017-10-02	SRR6123016	SRS2559460	LOP868_286	Alca_Tarma_dihaploid_286	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675579	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235841	SINGLE	KFRAG_00084	2017-10-02	2	1	2017-10-02	SRR6123017	SRS2559459	LOP868_281	Alca_Tarma_dihaploid_281	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675501	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235831	SINGLE	KFRAG_00006	2017-10-02	246	88	2017-10-02	SRR6123027	SRS2559614	LOP868_011	Alca_Tarma_dihaploid_011	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675502	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235832	SINGLE	KFRAG_00007	2017-10-02	281	100	2017-10-02	SRR6123026	SRS2559615	LOP868_012	Alca_Tarma_dihaploid_012	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675503	UNIVERSITY OF CALIFORNIA, DAVIS	sra-sos	sra-sos.public	SRX3235833	SINGLE	KFRAG_00008	2017-10-02	237	85	2017-10-02	SRR6123025	SRS2559616	LOP868_015	Alca_Tarma_dihaploid_015	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675504	UNIVERSITY OF CALIFORNIA, DAVIS	sra-sos	sra-sos.public	SRX3235834	SINGLE	KFRAG_00009	2017-10-02	196	70	2017-10-02	SRR6123024	SRS2559617	LOP868_016	Alca_Tarma_dihaploid_016	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675505	UNIVERSITY OF CALIFORNIA, DAVIS	sra-sos	sra-sos.public	SRX3235835	SINGLE	KFRAG_00010	2017-10-02	188	68	2017-10-02	SRR6123023	SRS2559618	LOP868_025	Alca_Tarma_dihaploid_025	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675584	UNIVERSITY OF CALIFORNIA, DAVIS	sra-sos	sra-sos.public	SRX3235836	SINGLE	KFRAG_00089	2017-10-02	157	56	2017-10-02	SRR6123022	SRS2559619	LOP868_295	Alca_Tarma_dihaploid_295	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675585	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235837	SINGLE	KFRAG_00090	2017-10-02	186	66	2017-10-02	SRR6123021	SRS2559620	LOP868_299	Alca_Tarma_dihaploid_299	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675576	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235838	SINGLE	KFRAG_00081	2017-10-02	205	73	2017-10-02	SRR6123020	SRS2559621	LOP868_278	Alca_Tarma_dihaploid_278	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675577	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235839	SINGLE	KFRAG_00082	2017-10-02	9	2	2017-10-02	SRR6123019	SRS2559622	LOP868_279	Alca_Tarma_dihaploid_279	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675578	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235840	SINGLE	KFRAG_00083	2017-10-02	8	2	2017-10-02	SRR6123018	SRS2559458	LOP868_280	Alca_Tarma_dihaploid_280	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675614	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235811	SINGLE	KFRAG_00119	2017-10-02	210	75	2017-10-02	SRR6123047	SRS2559594	LOP868_429	Alca_Tarma_dihaploid_429	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
50	50	SAMN07675569	UNIVERSITY OF CALIFORNIA, DAVIS	ncbi		SRX3235812	SINGLE	KFRAG_00074	2017-10-02	223	79	2017-10-02	SRR6123046	SRS2559595	LOP868_267	Alca_Tarma_dihaploid_267	WGS	PRJNA408137	Plant	public	sra	0	Illumina HiSeq 4000	RANDOM	GENOMIC	Solanum tuberosum	ILLUMINA	SRP119212	Peru	leaf
