Experiment	Library_Name	LoadDate	MBases	MBytes	Run	Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Sample	SRA_Study	Sample_Name	age	cultivar	dev_stage	ecotype	geo_loc_name	tissue
SRX3442446	RR12	2017-12-04	16724	6493	SRR6344815	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442445	GG21	2017-12-04	18472	6905	SRR6344816	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442444	GG22	2017-12-04	18828	7011	SRR6344817	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442443	M2	2017-12-04	30496	12443	SRR6344818	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442442	H1	2017-12-04	29282	11617	SRR6344819	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442441	GG11	2017-12-04	21705	8106	SRR6344820	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442440	G2	2017-12-04	30306	11931	SRR6344821	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442439	K2	2017-12-04	27988	11170	SRR6344822	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442438	M1	2017-12-04	16921	6630	SRR6344823	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
SRX3442437	WTC4	2017-12-04	19734	7534	SRR6344824	WGS	300	PRJNA420933	SAMN08125889	Plant	YANGZHOU UNIVERSITY	public	sra	ncbi	0	HiSeq X Ten	PAIRED	RANDOM	GENOMIC	Oryza sativa Japonica Group	ILLUMINA	2018-05-23	SRS2733138	SRP126088	offtargeting	15 days	Nipponbare	3 leaves stage	not applicable	China	leaf
