sample	unit	fq1	fq2	parhap
2x_LOP868_529	SRR6123192	SRR6123192.fastq.gz	NaN	haploid
2x_LOP868_532	SRR6123191	SRR6123191.fastq.gz	NaN	haploid
2x_LOP868_538	SRR6123189	SRR6123189.fastq.gz	NaN	haploid
2x_LOP868_269	SRR6123188	SRR6123188.fastq.gz	NaN	haploid
2x_LOP868_269	SRR6123089	SRR6123089.fastq.gz	NaN	haploid
2x_LOP868_280	SRR6123018	SRR6123018.fastq.gz	NaN	haploid
2x_LOP868_280	SRR6123187	SRR6123187.fastq.gz	NaN	haploid
2x_LOP868_281	SRR6123186	SRR6123186.fastq.gz	NaN	haploid
2x_LOP868_281	SRR6123017	SRR6123017.fastq.gz	NaN	haploid
2x_LOP868_286	SRR6123016	SRR6123016.fastq.gz	NaN	haploid
2x_LOP868_286	SRR6123185	SRR6123185.fastq.gz	NaN	haploid
2x_LOP868_535	SRR6123190	SRR6123190.fastq.gz	NaN	haploid
2x_IVP_101	SRR6123183	SRR6123183_1.fastq.gz	NaN	inducer
2x_LOP868_289	SRR6123184	SRR6123184.fastq.gz	NaN	haploid
2x_LOP868_289	SRR6123015	SRR6123015.fastq.gz	NaN	haploid
2x_LOP868_244	SRR6123181	SRR6123181.fastq.gz	NaN	haploid
2x_LOP868_219	SRR6123182	SRR6123182.fastq.gz	NaN	haploid
2x_LOP868_224	SRR6123180	SRR6123180.fastq.gz	NaN	haploid
2x_LOP868_220	SRR6123179	SRR6123179.fastq.gz	NaN	haploid
2x_LOP868_198	SRR6123178	SRR6123178.fastq.gz	NaN	haploid
2x_LOP868_172	SRR6123177	SRR6123177.fastq.gz	NaN	haploid
2x_LOP868_205	SRR6123176	SRR6123176.fastq.gz	NaN	haploid
2x_LOP868_204	SRR6123175	SRR6123175.fastq.gz	NaN	haploid
2x_LOP868_227	SRR6123174	SRR6123174.fastq.gz	NaN	haploid
2x_LOP868_222	SRR6123173	SRR6123173.fastq.gz	NaN	haploid
2x_LOP868_086	SRR6123172	SRR6123172.fastq.gz	NaN	haploid
2x_LOP868_081	SRR6123171	SRR6123171.fastq.gz	NaN	haploid
2x_LOP868_108	SRR6123170	SRR6123170.fastq.gz	NaN	haploid
2x_LOP868_097	SRR6123169	SRR6123169.fastq.gz	NaN	haploid
2x_LOP868_254	SRR6123168	SRR6123168.fastq.gz	NaN	haploid
2x_LOP868_255	SRR6123167	SRR6123167.fastq.gz	NaN	haploid
2x_LOP868_251	SRR6123165	SRR6123165.fastq.gz	NaN	haploid
2x_LOP868_248	SRR6123166	SRR6123166.fastq.gz	NaN	haploid
