sample	unit	fq1	fq2	parhap
RR12	SRR6344815	SRR6344815_1.fastq.gz	SRR6344815_2.fastq.gz	NaN	haploid
GG21	SRR6344816	SRR6344816_1.fastq.gz	SRR6344816_2.fastq.gz	NaN	haploid
GG22	SRR6344817	SRR6344817_1.fastq.gz	SRR6344817_2.fastq.gz	NaN	haploid
M2	SRR6344818	SRR6344818_1.fastq.gz	SRR6344818_2.fastq.gz	NaN	haploid
H1	SRR6344819	SRR6344819_1.fastq.gz	SRR6344819_2.fastq.gz	NaN	haploid
GG11	SRR6344820	SRR6344820_1.fastq.gz	SRR6344820_2.fastq.gz	NaN	haploid
G2	SRR6344821	SRR6344821_1.fastq.gz	SRR6344821_2.fastq.gz	NaN	haploid
K2	SRR6344822	SRR6344822_1.fastq.gz	SRR6344822_2.fastq.gz	NaN	haploid
M1	SRR6344823	SRR6344823_1.fastq.gz	SRR6344823_2.fastq.gz	NaN	haploid
WTC4	SRR6344824	SRR6344824_1.fastq.gz	SRR6344824_2.fastq.gz	NaN	haploid
DD11	SRR6344825	SRR6344825_1.fastq.gz	SRR6344825_2.fastq.gz	NaN	haploid
D2	SRR6344826	SRR6344826_1.fastq.gz	SRR6344826_2.fastq.gz	NaN	haploid
D1	SRR6344827	SRR6344827_1.fastq.gz	SRR6344827_2.fastq.gz	NaN	haploid
CKYA2	SRR6344828	SRR6344828_1.fastq.gz	SRR6344828_2.fastq.gz	NaN	haploid
G1	SRR6344829	SRR6344829_1.fastq.gz	SRR6344829_2.fastq.gz	NaN	haploid
DD22	SRR6344830	SRR6344830_1.fastq.gz	SRR6344830_2.fastq.gz	NaN	haploid
DD21	SRR6344831	SRR6344831_1.fastq.gz	SRR6344831_2.fastq.gz	NaN	haploid
DD12	SRR6344832	SRR6344832_1.fastq.gz	SRR6344832_2.fastq.gz	NaN	haploid
L4	SRR6344833	SRR6344833_1.fastq.gz	SRR6344833_2.fastq.gz	NaN	haploid
WTB2	SRR6344834	SRR6344834_1.fastq.gz	SRR6344834_2.fastq.gz	NaN	haploid
WTB1	SRR6344835	SRR6344835_1.fastq.gz	SRR6344835_2.fastq.gz	NaN	haploid
WTA4	SRR6344836	SRR6344836_1.fastq.gz	SRR6344836_2.fastq.gz	NaN	haploid
WTA3	SRR6344837	SRR6344837_1.fastq.gz	SRR6344837_2.fastq.gz	NaN	haploid
WTA2	SRR6344838	SRR6344838_1.fastq.gz	SRR6344838_2.fastq.gz	NaN	haploid
L3	SRR6344839	SRR6344839_1.fastq.gz	SRR6344839_2.fastq.gz	NaN	haploid
S2	SRR6344840	SRR6344840_1.fastq.gz	SRR6344840_2.fastq.gz	NaN	haploid
II22	SRR6344841	SRR6344841_1.fastq.gz	SRR6344841_2.fastq.gz	NaN	haploid
WTC1	SRR6344842	SRR6344842_1.fastq.gz	SRR6344842_2.fastq.gz	NaN	haploid
WTB4	SRR6344843	SRR6344843_1.fastq.gz	SRR6344843_2.fastq.gz	NaN	haploid
II21	SRR6344844	SRR6344844_1.fastq.gz	SRR6344844_2.fastq.gz	NaN	haploid
J2	SRR6344845	SRR6344845_1.fastq.gz	SRR6344845_2.fastq.gz	NaN	haploid
RR22	SRR6344846	SRR6344846_1.fastq.gz	SRR6344846_2.fastq.gz	NaN	haploid
R2	SRR6344847	SRR6344847_1.fastq.gz	SRR6344847_2.fastq.gz	NaN	haploid
J1	SRR6344848	SRR6344848_1.fastq.gz	SRR6344848_2.fastq.gz	NaN	haploid
AA21	SRR6344849	SRR6344849_1.fastq.gz	SRR6344849_2.fastq.gz	NaN	haploid
AA22	SRR6344850	SRR6344850_1.fastq.gz	SRR6344850_2.fastq.gz	NaN	haploid
